trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.09339719999115914,,0.016640999994706362,10,0.09339719999115914,0.09339719999115914,0.07444699999177828,2.0129809999489225,[0.272],[-0.058],[1],[0],[0],[1.9374233999988064],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
1,0,1,0,2.0433078999631107,,2.016119299980346,5,2.0433078999631107,2.0433078999631107,0.012580899987369776,3.9979073999566026,[-0.378],[-0.038],[1],[0],[0],[1.9690340000088327],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
2,0,2,0,4.060987999953795,,4.004806199984159,5,4.060987999953795,4.060987999953795,0.03219980001449585,5.8308422999689355,[0.244],[0.178],[1],[0],[0],[1.7945457000168972],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
3,0,3,0,5.910648699966259,,5.835651199973654,10,5.910648699966259,5.910648699966259,0.04732269997475669,7.713464499975089,[0.462],[0.092],[1],[0],[0],[1.8302842000266537],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
4,0,4,0,7.793630399974063,,7.72029659996042,10,7.793630399974063,7.793630399974063,0.05642099998658523,9.314746399992146,[-0.32],[-0.076],[1],[0],[0],[1.5386137999594212],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
5,0,5,0,9.39362639997853,,9.32162399997469,10,9.39362639997853,9.39362639997853,0.04894659999990836,12.327898899966385,[-0.456],[-0.27],[1],[0],[0],[2.9584780000150204],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
6,0,6,0,12.376937699969858,,12.330475199967623,10,12.376937699969858,12.376937699969858,0.025880000030156225,13.795931999979075,[-0.37],[-0.298],[1],[0],[0],[1.4393571999971755],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
7,0,7,0,13.843856599996798,,13.802980899985414,5,13.843856599996798,13.843856599996798,0.03178610000759363,15.545466199982911,[0.268],[-0.066],[1],[0],[0],[1.711863100004848],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
8,0,8,0,15.577333399967756,,15.548022599949036,5,15.577333399967756,15.577333399967756,0.011841500003356487,17.362189399951603,[0.472],[0.388],[1],[0],[0],[1.8024327000021003],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
9,0,9,0,17.41041019995464,,17.364525599987246,10,17.41041019995464,17.41041019995464,0.021362500032410026,19.647340999974404,[-0.416],[-0.402],[1],[0],[0],[2.2611276999814436],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
10,0,10,0,19.727094699977897,,19.65463299996918,10,19.727094699977897,19.727094699977897,0.05970310000702739,21.363736299972516,[-0.428],[-0.17],[1],[0],[0],[1.6505010999972],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
11,0,11,0,21.394698899996,,21.36637389997486,5,21.394698899996,21.394698899996,0.012339700013399124,23.713198699988425,[0.336],[0.434],[1],[0],[0],[2.3347333000274375],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
12,0,12,0,23.760468199965544,,23.71565259998897,10,23.760468199965544,23.760468199965544,0.023999699973501265,28.135814199980814,[-0.374],[-0.044],[1],[0],[0],[4.395842800033279],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
13,0,13,0,28.227849799965043,,28.143899199960288,10,28.227849799965043,28.227849799965043,0.06292920000851154,29.563511799962725,[0.3],[0.284],[1],[0],[0],[1.3583143000141717],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
14,0,14,0,29.62823439994827,,29.570726299949456,5,29.62823439994827,29.62823439994827,0.032363599981181324,31.146122199948877,[0.3],[-0.062],[1],[0],[0],[1.544305399991572],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
15,0,15,0,31.179891999985557,,31.149712199985515,5,31.179891999985557,31.179891999985557,0.015088400046806782,35.596246399974916,[-0.392],[-0.332],[1],[0],[0],[4.431319600029383],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
16,0,16,0,35.67721029999666,,35.60458599997219,10,35.67721029999666,35.67721029999666,0.060318399977404624,37.14724819996627,[0.088],[-0.278],[1],[0],[0],[1.4832178999786265],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
17,0,17,0,37.244368899962865,,37.1544890999794,10,37.244368899962865,37.244368899962865,0.062260599981527776,39.4971376999747,[0.254],[0.496],[1],[0],[0],[2.281549700011965],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
18,0,18,0,39.527206300001126,,39.49957609997364,5,39.527206300001126,39.527206300001126,0.012910199991893023,41.784567399998195,[0.044],[-0.24],[1],[0],[0],[2.271795500011649],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
19,0,19,0,41.87764999998035,,41.790854799968656,10,41.87764999998035,41.87764999998035,0.05915749998530373,44.146077499957755,[0.208],[0.01],[1],[0],[0],[2.296588699973654],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
20,0,20,0,44.21064189996105,,44.15257189999102,10,44.21064189996105,44.21064189996105,0.04846230003749952,46.26264400000218,[-0.268],[0.484],[1],[0],[0],[2.0622571000130847],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
21,0,21,0,46.34389739995822,,46.268948499986436,10,46.34389739995822,46.34389739995822,0.056937300018034875,48.02966409997316,[0.07],[0.126],[1],[0],[0],[1.7042757999734022],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
22,0,22,0,48.12768809997942,,48.03631439997116,10,48.12768809997942,48.12768809997942,0.061644500005058944,50.496708299964666,[0.362],[-0.252],[1],[0],[0],[2.399359999981243],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
23,0,23,0,50.594520699989516,,50.503175999969244,10,50.594520699989516,50.594520699989516,0.05940909998025745,52.564101499971,[0.328],[0.168],[1],[0],[0],[2.0019521999638528],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
24,0,24,0,52.661394399998244,,52.57053659996018,10,52.661394399998244,52.661394399998244,0.06157970003550872,55.19647129997611,[-0.456],[0.172],[1],[0],[0],[2.5648745999787934],['target'],989773,001,2024-10-09_13h37.42.546,untitled,2024.1.5,None,2024-10-09 13h37.45.332848 +0530,
