trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.09930039994651452,,0.023334299970883876,5,0.09930039994651452,0.09930039994651452,0.06770239997422323,1.6704719999688677,[0.14],[0.378],[1],[0],[0],[1.6019605999463238],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
1,0,1,0,1.7321464999695309,,1.6799928999971598,10,1.7321464999695309,1.7321464999695309,0.039255800016690046,3.620014499989338,[-0.148],[0.098],[1],[0],[0],[1.9012820000061765],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
2,0,2,0,3.6822331000003032,,3.627143999969121,10,3.6822331000003032,3.6822331000003032,0.04035910003585741,5.3185109999612905,[0.14],[0.07],[1],[0],[0],[1.6521638999693096],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
3,0,3,0,5.38218339998275,,5.32235239999136,10,5.38218339998275,5.38218339998275,0.03189739998197183,7.018410699965898,[-0.06],[0.002],[1],[0],[0],[1.6642341999686323],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
4,0,4,0,7.065998599980958,,7.023045199981425,5,7.065998599980958,7.065998599980958,0.0231260999571532,9.817679499974474,[0.458],[0.356],[1],[0],[0],[2.7721736000385135],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
5,0,5,0,9.8656446999521,,9.81998879997991,10,9.8656446999521,9.8656446999521,0.022747599985450506,12.086184799962211,[-0.486],[0.342],[1],[0],[0],[2.2432373999617994],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
6,0,6,0,12.148908499977551,,12.093551199999638,10,12.148908499977551,12.148908499977551,0.03329329995904118,14.752701099961996,[-0.002],[-0.322],[1],[0],[0],[2.626639400026761],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
7,0,7,0,14.81542579998495,,14.759775199985597,10,14.81542579998495,14.81542579998495,0.036611000017728657,16.63595119997626,[0.258],[-0.296],[1],[0],[0],[1.8402242999873124],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
8,0,8,0,16.699221099959686,,16.643278199946508,10,16.699221099959686,16.699221099959686,0.04208169999765232,18.28561500000069,[-0.114],[-0.118],[1],[0],[0],[1.6009311000234447],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
9,0,9,0,18.33229269995354,,18.29368209996028,5,18.33229269995354,18.33229269995354,0.031142199994064867,20.38696119998349,[-0.202],[0.324],[1],[0],[0],[2.063178299984429],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
10,0,10,0,20.43224769999506,,20.3928000999731,5,20.43224769999506,20.43224769999506,0.028623699967283756,21.604098899988458,[-0.278],[0.36],[1],[0],[0],[1.1833093999885023],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
11,0,11,0,21.66660649998812,,21.610380699974485,5,21.66660649998812,21.66660649998812,0.033498400007374585,23.36797059996752,[0.158],[0.492],[1],[0],[0],[1.7251312999869697],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
12,0,12,0,23.415447799954563,,23.372211699956097,5,23.415447799954563,23.415447799954563,0.02042710001114756,25.501835399947595,[0.22],[-0.468],[1],[0],[0],[2.1094674000050873],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
13,0,13,0,25.548853999993298,,25.5043690999737,10,25.548853999993298,25.548853999993298,0.026223800028674304,27.183867199986707,[-0.108],[-0.082],[1],[0],[0],[1.653519299987238],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
14,0,14,0,27.215451999974903,,27.18630989996018,5,27.215451999974903,27.215451999974903,0.011409000027924776,29.03429199999664,[-0.234],[0.258],[1],[0],[0],[1.8366700999904424],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
15,0,15,0,29.082223899953533,,29.03888539999025,10,29.082223899953533,29.082223899953533,0.02456819999497384,30.534430100000463,[0.036],[0.376],[1],[0],[0],[1.4716553000034764],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
16,0,16,0,30.56592239998281,,30.53698729997268,5,30.56592239998281,30.56592239998281,0.015321399958338588,32.60195339994971,[0.05],[-0.468],[1],[0],[0],[2.0496746000135317],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
17,0,17,0,32.63233239995316,,32.60574109997833,5,32.63233239995316,32.63233239995316,0.013066900020930916,34.43658889998915,[-0.284],[0.204],[1],[0],[0],[1.817572200030554],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
18,0,18,0,34.49874670000281,,34.44197489996441,10,34.49874670000281,34.49874670000281,0.04135849996237084,36.11774489999516,[-0.258],[0.256],[1],[0],[0],[1.6352018999750726],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
19,0,19,0,36.16526309994515,,36.12006109999493,10,36.16526309994515,36.16526309994515,0.022502899984829128,42.434643299959134,"[0.138, 0.142]","[-0.472, -0.484]","[1, 1]","[0, 0]","[0, 0]","[3.575295399990864, 6.292224599979818]",['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
20,0,20,0,42.4656118999701,,42.439285499975085,5,42.4656118999701,42.4656118999701,0.015585499990265816,43.95047009998234,[-0.198],[0.254],[1],[0],[0],[1.496273199969437],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
21,0,21,0,43.98227239999687,,43.95282690000022,5,43.98227239999687,43.98227239999687,0.011173300037626177,45.86786239995854,[0.198],[-0.342],[1],[0],[0],[1.903974900022149],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
22,0,22,0,45.91550319996895,,45.87244259996805,5,45.91550319996895,45.91550319996895,0.019641200022306293,47.58474749996094,[-0.068],[0.352],[1],[0],[0],[1.6930992000270635],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
23,0,23,0,47.615705199947115,,47.5893505999702,5,47.615705199947115,47.615705199947115,0.015570899995509535,49.33449769997969,[-0.02],[0.116],[1],[0],[0],[1.730281600030139],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
24,0,24,0,49.38228429999435,,49.336881699971855,10,49.38228429999435,49.38228429999435,0.02484209998510778,51.16773139999714,[-0.292],[0.484],[1],[0],[0],[1.8061718000099063],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
25,0,25,0,51.198793899966404,,51.17239569994854,5,51.198793899966404,51.198793899966404,0.015527400013525039,52.90166439994937,[-0.132],[0.198],[1],[0],[0],[1.7142880000174046],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
26,0,26,0,52.94885669997893,,52.90623699995922,5,52.94885669997893,52.94885669997893,0.017670099972747266,55.201719099946786,[0.438],[0.294],[1],[0],[0],[2.2783388000098057],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
27,0,27,0,55.23223879997386,,55.20641679997789,5,55.23223879997386,55.23223879997386,0.018331500003114343,57.05175289994804,[0.082],[0.386],[1],[0],[0],[1.8276594000053592],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
28,0,28,0,57.082365299982484,,57.05636999994749,5,57.082365299982484,57.082365299982484,0.013908500026445836,58.51861479994841,[-0.146],[0.378],[1],[0],[0],[1.4484694999991916],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
29,0,29,0,58.548746999993455,,58.52175949997036,5,58.548746999993455,58.548746999993455,0.01536129997111857,60.78710639994824,[0.126],[0.346],[1],[0],[0],[2.2498383999918588],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
30,0,30,0,60.83222489996115,,60.79379619995598,5,60.83222489996115,60.83222489996115,0.01706969999941066,63.0208209999837,[0.412],[0.412],[1],[0],[0],[2.2106405000085942],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
31,0,31,0,63.099000499991234,,63.02737939998042,10,63.099000499991234,63.099000499991234,0.05864000000292435,66.31959929998266,[-0.318],[0.018],[1],[0],[0],[3.2341237000073306],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
32,0,32,0,66.38283779995982,,66.32685089996085,5,66.38283779995982,66.38283779995982,0.033560700016096234,70.01818459999049,[-0.26],[-0.046],[1],[0],[0],[3.658469999965746],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
33,0,33,0,70.08275109995157,,70.02457829995546,5,70.08275109995157,70.08275109995157,0.03306779998820275,71.83700139995199,[-0.416],[-0.052],[1],[0],[0],[1.7799930000328459],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
34,0,34,0,71.91565609996906,,71.84343609999632,10,71.91565609996906,71.91565609996906,0.06147429998964071,73.4859032999957,[0.044],[0.124],[1],[0],[0],[1.5815524999634363],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
35,0,35,0,73.54996059997939,,73.49337299994659,5,73.54996059997939,73.54996059997939,0.03464000002713874,75.0865648999461,[0.224],[0.132],[1],[0],[0],[1.5595262999995612],['target'],568187,001,2024-10-09_13h19.46.946,untitled,2024.1.5,None,2024-10-09 13h19.49.662859 +0530,
