trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,0,48.1603370999801,,48.12113819998922,5,48.1603370999801,48.1603370999801,0.028065000020433217,49.81419989996357,[0.104],[-0.042],[1],[0],[0],[1.6658296000096016],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
20,0,20,0,49.87791149999248,,49.82126729999436,5,49.87791149999248,49.87791149999248,0.03305580001324415,53.07933429995319,[0.322],[-0.134],[1],[0],[0],[3.225763700029347],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
21,0,21,0,53.160708499955945,,53.08635899994988,10,53.160708499955945,53.160708499955945,0.047709800011944026,55.48040799994487,[0.026],[-0.404],[1],[0],[0],[2.347162500023842],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
22,0,22,0,55.543659599963576,,55.487153699970804,10,55.543659599963576,55.543659599963576,0.047599999990779907,58.0301102999947,[0.198],[-0.468],[1],[0],[0],[2.4958339000004344],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
23,0,23,0,58.110451799992006,,58.037060599948745,10,58.110451799992006,58.110451799992006,0.04760840005474165,60.263234499958344,[-0.252],[0.026],[1],[0],[0],[2.1791134999948554],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
24,0,24,0,60.343964999949094,,60.2703451999696,10,60.343964999949094,60.343964999949094,0.05845819995738566,62.89641779998783,[0.426],[-0.168],[1],[0],[0],[2.568374600028619],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
25,0,25,0,62.99371659994358,,62.90326879994245,10,62.99371659994358,62.99371659994358,0.06162570003652945,64.86200549994828,[0.34],[0.276],[1],[0],[0],[1.8981640000129119],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
26,0,26,0,64.91027899994515,,64.86436979996506,10,64.91027899994515,64.91027899994515,0.021431900036986917,67.23015589994611,[-0.364],[0.198],[1],[0],[0],[2.343932899995707],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
27,0,27,0,67.32824849995086,,67.23706539999694,10,67.32824849995086,67.32824849995086,0.05991599999833852,69.26290509995306,[-0.25],[-0.032],[1],[0],[0],[1.966733800014481],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
28,0,28,0,69.32694809994427,,69.26964979997138,10,69.32694809994427,69.32694809994427,0.03953330003423616,71.56344469997566,[0.268],[0.3],[1],[0],[0],[2.254756800015457],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
