trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08064749999903142,,0.018145000038202852,10,0.08064749999903142,0.08064749999903142,0.04862809996120632,1.8511076000286266,[0.026],[0.47],[1],[0],[0],[1.8016444999957457],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
1,0,1,0,1.8966649000067264,,1.8586696000420488,5,1.8966649000067264,1.8966649000067264,0.013437799992971122,3.299748800054658,[0.328],[0.478],[1],[0],[0],[1.4275852999999188],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
2,0,2,0,3.3309345000307076,,3.3030232000164688,5,3.3309345000307076,3.3309345000307076,0.01711529999738559,5.150783999997657,[-0.022],[-0.308],[1],[0],[0],[1.830349900003057],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
3,0,3,0,5.1976343000424094,,5.154772800044157,10,5.1976343000424094,5.1976343000424094,0.023490499996114522,6.583347000007052,[0.068],[0.352],[1],[0],[0],[1.4051541999797337],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
4,0,4,0,6.6137518000323325,,6.587180300033651,5,6.6137518000323325,6.6137518000323325,0.015410599997267127,9.318073400005233,"[-0.4, -0.378]","[-0.292, -0.27]","[1, 1]","[0, 0]","[0, 0]","[1.6469727999647148, 2.715642199967988]",['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
5,0,5,0,9.347440500045195,,9.32193840004038,5,9.347440500045195,9.347440500045195,0.013731999963056296,12.201520600006916,"[0.184, 0.252]","[0.15, 0.382]","[1, 1]","[0, 0]","[0, 0]","[1.3982091999496333, 2.865853799972683]",['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
6,0,6,0,12.23041350004496,,12.20483120001154,5,12.23041350004496,12.23041350004496,0.012998300022445619,13.816785000031814,[-0.262],[-0.058],[1],[0],[0],[1.5987690999754705],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
7,0,7,0,13.863871400011703,,13.82123960001627,10,13.863871400011703,13.863871400011703,0.025975199998356402,15.383079200051725,[0.126],[0.46],[1],[0],[0],[1.5362735000089742],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
8,0,8,0,15.430401300021913,,15.387138700054493,10,15.430401300021913,15.430401300021913,0.026943400036543608,17.083516800019424,[0.014],[-0.028],[1],[0],[0],[1.669534399989061],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
9,0,9,0,17.130304200050887,,17.086960900051054,10,17.130304200050887,17.130304200050887,0.02416179998544976,18.782823600049596,[0.286],[0.106],[1],[0],[0],[1.6717551000183448],['target'],940595,001,2024-10-09_00h32.10.569,untitled,2024.1.5,None,2024-10-09 00h32.13.383241 +0530,
